"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Just listed: 120 Erasmus Street, Flatbush - 3 Family - 8BR, 7BA, 4,306 s.f. - $699,000 http://t.co/4upogz5P",FALSE,0,NA,2012-07-11 15:00:17,FALSE,NA,"223069203912077314",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","RealDirect",0,FALSE,FALSE,NA,NA
"Awesome! RT @nathanfgao: @rrgrzcool @RealDirect Instantly in love with lasso",FALSE,0,NA,2012-07-11 14:53:51,FALSE,NA,"223067583996366849",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","RealDirect",0,FALSE,FALSE,NA,NA
"Buying or selling NYC real estate? Try our savings calculator to find out how much $$$ you can save with RealDirect. http://t.co/GJBQ1sQ5",FALSE,0,NA,2012-07-10 18:57:05,FALSE,NA,"222766409778868224",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","RealDirect",0,FALSE,FALSE,NA,NA
"Just listed: 728 Sackett #1R - 1BR, 1BA, 880 sf - Park Slope garden duplex - $549,000 http://t.co/a6hmlbm0 http://t.co/zFprd47l",FALSE,0,NA,2012-07-10 14:05:43,FALSE,NA,"222693085933600768",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","RealDirect",0,FALSE,FALSE,NA,NA
"Just listed: 225 East 57th St #3C - 1BR, 1BA, 950 sf - $542,500 http://t.co/4Qrw8YYz http://t.co/qUr2ZmdJ",FALSE,0,NA,2012-07-06 14:34:35,FALSE,NA,"221250796967305216",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","RealDirect",0,FALSE,FALSE,NA,NA
"RealDirect is looking for Brooklyn Real Estate Consultants/Agents.  $500 referral fee!",FALSE,0,NA,2012-06-28 15:15:36,FALSE,NA,"218362015771672576",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RealDirect",0,FALSE,FALSE,NA,NA
"Just listed: 222 East 35th Street #5F - 1BR, 1BA, 850 sf - $555,000 http://t.co/wYCyZR6h http://t.co/cw10F9FP",FALSE,0,NA,2012-06-27 18:31:06,FALSE,NA,"218048828690018304",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","RealDirect",0,FALSE,FALSE,NA,NA
"""The neighborhoods that are doing best are those that have always had a premium associated with them."" http://t.co/P8B4pRuT",FALSE,0,NA,2012-06-20 14:32:22,FALSE,NA,"215452032419639298",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","RealDirect",0,FALSE,FALSE,NA,NA
"The Chelsea Mercantile - a.k.a. ""the Whole Foods building"" http://t.co/j1u9O7YH",FALSE,0,NA,2012-06-19 14:30:50,FALSE,NA,"215089261802819588",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","RealDirect",1,FALSE,FALSE,NA,NA
"10 DIY projects that can help your home sell faster: http://t.co/DFBYBqS7",FALSE,0,NA,2012-06-18 19:08:09,FALSE,NA,"214796659798966272",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","RealDirect",0,FALSE,FALSE,NA,NA
"Just listed: 345 West 58th Street #14X - 1BR, 1BA, 725 sf - $599,000 http://t.co/qfQuJiho http://t.co/8N2vJUZx",FALSE,0,NA,2012-06-18 14:21:32,FALSE,NA,"214724532521549824",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","RealDirect",0,FALSE,FALSE,NA,NA
"Apples to Apples: Comparing Co-ops Based on Total Monthly Payment - Park Slope, NY Patch http://t.co/soJlCk6H",FALSE,0,NA,2012-06-13 18:24:28,FALSE,NA,"212973729192493058",NA,"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","RealDirect",0,FALSE,FALSE,NA,NA
"RT @carrollgpatch: Our weekly #Brooklyn #realestate blogger @DougPerlson gives us the fast and hard scoop on co-ops http://t.co/s2MJQlRT",FALSE,0,NA,2012-06-12 18:25:00,FALSE,NA,"212611477356560384",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","RealDirect",0,FALSE,FALSE,NA,NA
"What does a Tasmanian wallaby farm have to do with an apartment in the West Village? http://t.co/LFZLSxkA",FALSE,0,NA,2012-06-12 16:01:58,FALSE,NA,"212575479419506688",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","RealDirect",2,FALSE,FALSE,NA,NA
"High maintenance, lower price vs. Low maintenance, higher price. Look at total monthly payment when buying a NYC co-op. http://t.co/KNskKtbF",FALSE,0,NA,2012-06-11 16:18:31,FALSE,NA,"212217257256960000",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","RealDirect",0,FALSE,FALSE,NA,NA
"Enjoy! RT @mommasgonecity: @RealDirect @FishsEddyNYC @boylan_bottling eeeeee!!! Beyond excited you guys! Thank you!",FALSE,0,NA,2012-06-08 13:41:23,FALSE,NA,"211090547446788098",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","RealDirect",0,FALSE,FALSE,NA,NA
"Congratulations, @mommasgonecity, winner of our Search &amp; Swag prize pack from @fishseddynyc and @boylan_bottling.",FALSE,0,NA,2012-06-08 13:30:27,FALSE,NA,"211087796193067008",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","RealDirect",2,FALSE,FALSE,NA,NA
"RT @magsnyc: It's on like Donkey Kong @CurbedNY RE Deathmatch! Which would you pick? I know my favorite ;) @RealDirect http://t.co/OwITqxOe",FALSE,0,NA,2012-06-07 19:59:40,FALSE,NA,"210823358009450499",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","RealDirect",0,FALSE,FALSE,NA,NA
"Just listed: 148 East 84th Street #2C - 1BR, 1BA, 640 s.f. - $485,000 http://t.co/EcktYQ4j http://t.co/6TNW2v3Z",FALSE,0,NA,2012-06-07 14:17:27,FALSE,NA,"210737238827479040",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","RealDirect",0,FALSE,FALSE,NA,NA
"RT @dougperlson: RD client is a House of the week! - http://t.co/xpiscvtL http://t.co/WWFeDQLV via @NewYorkPost @RealDirect",FALSE,0,NA,2012-06-07 14:15:45,FALSE,NA,"210736809108455424",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","RealDirect",0,FALSE,FALSE,NA,NA
"RT @dougperlson: My @BusinessInsider post on owning your key technologies http://t.co/0TZK3Zqa",FALSE,0,NA,2012-06-06 18:32:04,FALSE,NA,"210438925158846464",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","RealDirect",0,FALSE,FALSE,NA,NA
"Ends tomorrow: Last chance to enter for a chance to win a prize pack from @fishseddynyc and @boylan_bottling! http://t.co/q2TFT8kN",FALSE,0,NA,2012-06-06 18:29:10,FALSE,NA,"210438198621507584",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","RealDirect",1,FALSE,FALSE,NA,NA
"Apple philosophy: compete by owning key technologies http://t.co/1uNZSmTU",FALSE,0,NA,2012-06-05 14:30:44,FALSE,NA,"210015806506020864",NA,"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","RealDirect",0,FALSE,FALSE,NA,NA
"Just listed: 372 Central Park West #1Y - 2BR, 1BA, 849 s.f. - $875,000 http://t.co/agNp0YdD http://t.co/HmKqt6Nc",FALSE,0,NA,2012-06-04 20:26:32,FALSE,NA,"209742958977757186",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","RealDirect",0,FALSE,FALSE,NA,NA
"How many times a year DO you really need a pirate outfit? http://t.co/4ESl9IvM http://t.co/prE1TIKp",FALSE,0,NA,2012-05-31 16:08:25,FALSE,NA,"208228449473671169",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","RealDirect",0,FALSE,FALSE,NA,NA
"RT @parkslopepatch @RealDirect's new property search w/ maps-based interface and listing compatibility rankings:  http://t.co/dYSyRcyL",FALSE,0,NA,2012-05-29 19:41:48,FALSE,NA,"207557371629805569",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","RealDirect",0,FALSE,FALSE,NA,NA
"@justineburris Thanks for the mention! cc @dougperlson",FALSE,0,"JustinEBurris",2012-05-29 19:08:17,FALSE,"207496012653273088","207548939547836417","417632100","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","RealDirect",0,FALSE,FALSE,NA,NA
"Heat making you thirsty? Enter to win a refrigerator full of refreshing @boylan_bottling soda, &amp; $100 @fishseddynyc ! http://t.co/kMzVLehh",FALSE,0,NA,2012-05-29 15:43:25,FALSE,NA,"207497379480481793",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","RealDirect",1,FALSE,FALSE,NA,NA
"Just listed: 205 East 78th Street #2B - 1BR, 1BA, 800 sf - $429,000 http://t.co/5uafgimZ http://t.co/REBgFN8v",FALSE,0,NA,2012-05-28 16:29:58,FALSE,NA,"207146706368856064",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","RealDirect",0,FALSE,FALSE,NA,NA
"@Mitchellaneum Check us out at http://t.co/crLvSDvx, (read case studies, press, etc), and let us know what you think.   We r different...",FALSE,0,"Mitchellaneum",2012-05-25 19:33:44,FALSE,"206104297069481984","206105790669537280","220363595","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RealDirect",0,FALSE,FALSE,NA,NA
"Empty nester? Why live in the 'burbs or retire to Florida?  http://t.co/2mw2Ecf0",FALSE,0,NA,2012-05-22 14:17:56,FALSE,NA,"204939155527057408",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","RealDirect",0,FALSE,FALSE,NA,NA
"Ten Steps from Offer to Close - @parkslopepatch http://t.co/bpLWEwo7",FALSE,0,NA,2012-05-21 18:04:41,FALSE,NA,"204633829598703618",NA,"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","RealDirect",0,FALSE,FALSE,NA,NA
"The Chelsea Stratus - Luxury and Convenience http://t.co/L02QrLWo",FALSE,0,NA,2012-05-21 13:41:00,FALSE,NA,"204567470370066432",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","RealDirect",0,FALSE,FALSE,NA,NA
"The Next Generation of Property Search http://t.co/47otqwKh",FALSE,0,NA,2012-05-18 16:56:36,FALSE,NA,"203529532442030081",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","RealDirect",0,FALSE,FALSE,NA,NA
"Just listed: 67 East 11th Street #701 - 1BR, 1BA, 800 sf duplex - $949,000 http://t.co/ruqdotkR",FALSE,0,NA,2012-05-17 19:33:17,FALSE,NA,"203206576671174657",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","RealDirect",0,FALSE,FALSE,NA,NA
"RT @curbedny: Would you drop $1.5 million to give this former Slope factory a DIY townhouse makeover? http://t.co/knZDjTGK",FALSE,0,NA,2012-05-17 13:49:14,FALSE,NA,"203119993536253953",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","RealDirect",0,FALSE,FALSE,NA,NA
"RT @dougperlson: Former Slope Factory Seeks DIY Townhouse Makeover http://t.co/knZDjTGK via @CurbedNY",FALSE,0,NA,2012-05-17 04:27:35,FALSE,NA,"202978649790611456",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","RealDirect",0,FALSE,FALSE,NA,NA
"What happens after you make an offer on a home? http://t.co/YiWiZiy4",FALSE,0,NA,2012-05-16 14:25:53,FALSE,NA,"202766825228996608",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","RealDirect",0,FALSE,FALSE,NA,NA
"Search &amp; Swag with @RealDirect: you could win a $100 @fishseddynyc gift card and soda from @boylan_bottling http://t.co/86tAjKvH",FALSE,0,NA,2012-05-14 16:38:18,FALSE,NA,"202075375935819778",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","RealDirect",1,FALSE,FALSE,NA,NA
"Is it Really a Comp? - @dougperlson @realdirect talks comps on Park Slope Patch http://t.co/FxRDcVXr",FALSE,0,NA,2012-05-14 13:40:01,FALSE,NA,"202030507779833857",NA,"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","RealDirect",0,FALSE,FALSE,NA,NA
"Are those comps really comps? @dougperlson talks about his experience with a homeowner in Park Slope http://t.co/PDXyJr91",FALSE,0,NA,2012-05-11 17:53:14,FALSE,NA,"201007070714134528",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","RealDirect",0,FALSE,FALSE,NA,NA
"Search for properties and enter for a chance to win a prize pack from @boylan_bottling and @fishseddynyc http://t.co/IzXqa97F",FALSE,0,NA,2012-05-10 16:27:50,FALSE,NA,"200623187732594688",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","RealDirect",0,FALSE,FALSE,NA,NA
"Sr. Neighborhood Guide, Leia Furer, shares her inside tips for finding the best Manhattans in Manhattan: http://t.co/RdvZ6YCt",FALSE,0,NA,2012-05-10 14:29:51,FALSE,NA,"200593500004294656",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","RealDirect",0,FALSE,FALSE,NA,NA
"RT @tdelaneypr: @RealDirect names flatiron 1 of 10 best areas to invest http://t.co/8Y &amp; an area listing here http://t.co/lLqQBzIa",FALSE,0,NA,2012-05-09 18:45:55,FALSE,NA,"200295549625311232",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","RealDirect",0,FALSE,FALSE,NA,NA
"@betabeat's coverage of our new buyer search platform:  http://t.co/mzKulBiL",FALSE,0,"innovation",2012-05-09 17:45:28,FALSE,NA,"200280340189806593","25372760","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","RealDirect",0,FALSE,FALSE,NA,NA
"@mdudas Thanks, Mike!",FALSE,0,"mdudas",2012-05-09 16:04:06,FALSE,"200246383532453888","200254827710787584","7184612","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","RealDirect",0,FALSE,FALSE,NA,NA
"Search for homes with @RealDirect and enter to win swag from our friends @fishseddynyc and @boylan_bottling! http://t.co/pyivmgEE",FALSE,0,NA,2012-05-09 14:44:30,FALSE,NA,"200234795232530433",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","RealDirect",1,FALSE,FALSE,NA,NA
"Having a family no longer means banishment to suburbia http://t.co/J5oofOVy",FALSE,0,NA,2012-04-02 14:34:20,FALSE,NA,"186823888662048769",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","RealDirect",1,FALSE,FALSE,NA,NA
"Be Prepared When Selling Your Property Broker-Free - @dougperlson talks with @NY1headlines Jill Urban: http://t.co/QxU4kCbt",FALSE,0,NA,2012-03-30 19:07:28,FALSE,NA,"185805459322703872",NA,"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","RealDirect",1,FALSE,FALSE,NA,NA
"RT @rrgrzcool: With @RealDirect team when @tonyhawk walked into office. Men and women alike trying hard not to giggle like schoolgirls.",FALSE,0,NA,2012-03-28 14:05:58,FALSE,NA,"185004810356006912",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","RealDirect",0,FALSE,FALSE,NA,NA
"Holding an open house? Check out our ""how to"" guide on @parkslopepatch http://t.co/O0H6qdMJ",FALSE,0,NA,2012-03-27 13:54:12,FALSE,NA,"184639461303386112",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","RealDirect",0,FALSE,FALSE,NA,NA
"A guide to investing in NYC real estate for foreign buyers http://t.co/mfLWY8pH",FALSE,0,NA,2012-03-26 18:16:46,FALSE,NA,"184343148225503232",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","RealDirect",0,FALSE,FALSE,NA,NA
"Just listed: 545 W 111th #7D - 1BR, 1BA, 820sf - $769,000 http://t.co/oWE5urvC http://t.co/Bn89WNaY",FALSE,0,NA,2012-03-26 14:40:52,FALSE,NA,"184288818411745280",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","RealDirect",0,FALSE,FALSE,NA,NA
"Just listed in Williamsburg: 138 Broadway #5G - 3BR, 2BA, 1760 sf - $1,299,000 http://t.co/Ty7rSRmd http://t.co/NEjH5jTg",FALSE,0,NA,2012-03-26 14:18:03,FALSE,NA,"184283074882838528",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","RealDirect",0,FALSE,FALSE,NA,NA
"Open Sunday 3/25 11am-12:30 pm 301 East 69th Street Apartment 8E - $689,000 http://t.co/2EEzvZUu",FALSE,0,NA,2012-03-23 18:00:25,FALSE,NA,"183251872495308801",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","RealDirect",0,FALSE,FALSE,NA,NA
"Just listed: 509 Seminary Row #3 - 2BR, 1BA, 800 sf - $479,000 http://t.co/Pj5JtYhu http://t.co/FYmS7nrj",FALSE,0,NA,2012-03-23 15:20:44,FALSE,NA,"183211687749484548",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","RealDirect",0,FALSE,FALSE,NA,NA
"330 Third Ave #11A - $568,000 -http://www.realdirect.com/property/330-third-avenue-11a-new-york-ny-10010/795503555 http://t.co/qqg5VFKt",FALSE,0,NA,2012-03-20 15:21:52,FALSE,NA,"182124803300409345",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RealDirect",0,FALSE,FALSE,NA,NA
"Landlords Push Apartment Rents Near Record Levels http://t.co/nWWRYLmK",FALSE,0,NA,2012-03-19 15:49:51,FALSE,NA,"181769460997304321",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RealDirect",4,FALSE,FALSE,NA,NA
"Just listed: 111 Hicks Street #5C - Studio, 1BA, 540 sf - $259,000 http://t.co/Nbvu4IcU http://t.co/DEjdrssP",FALSE,0,NA,2012-03-16 13:52:18,FALSE,NA,"180652713065971713",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RealDirect",0,FALSE,FALSE,NA,NA
"Just listed: 120 East 36th Street #7G - 1BR, 1BA, 690 sf - $485,000 http://t.co/5hu9Kqh4 http://t.co/3DubiZJg",FALSE,0,NA,2012-03-15 14:22:31,FALSE,NA,"180297929892966401",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RealDirect",0,FALSE,FALSE,NA,NA
"Just listed: 680 West 204th Street #2D - 2BR, 1BA, 900 sf - $319,000 http://t.co/GjamZp9B http://t.co/oqSTroP6",FALSE,0,NA,2012-03-15 13:57:48,FALSE,NA,"180291706665709569",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RealDirect",0,FALSE,FALSE,NA,NA
"Just listed: 328 Bergen Street #5A, Boerum Hill - 3BR, 2BA, 1730 sf- $1,065,000 http://t.co/ACGk7Wh9 http://t.co/bM7qimXt",FALSE,0,NA,2012-03-14 13:45:38,FALSE,NA,"179926261127323648",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RealDirect",0,FALSE,FALSE,NA,NA
"Just listed: 301 East 69th Street #8E - 1BR, 1BA, 950 sf - $689,000 http://t.co/PBKyHEOT http://t.co/xeaC0FuU",FALSE,0,NA,2012-03-13 13:23:37,FALSE,NA,"179558331814395904",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RealDirect",0,FALSE,FALSE,NA,NA
